State Code,State Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Village Code,Village Name,Pincode
30,Goa,552,South Goa,5616,Salcete,626915,Sirlim,403725
30,Goa,552,South Goa,5616,Salcete,626907,Talaulim,403707
30,Goa,552,South Goa,5616,Salcete,924823,Talvorda,403703
30,Goa,552,South Goa,5616,Salcete,626893,Utorda,403713
30,Goa,552,South Goa,5616,Salcete,626898,Vanelim,403708
30,Goa,552,South Goa,5616,Salcete,626932,Varca (Ct),403721
30,Goa,552,South Goa,5616,Salcete,924824,Varoda,403703
30,Goa,552,South Goa,5616,Salcete,626921,Velim,403723
30,Goa,552,South Goa,5616,Salcete,626923,Verna (Ct),403722
30,Goa,552,South Goa,5618,Sanguem,626986,Antoriem,403704
30,Goa,552,South Goa,5618,Sanguem,627006,Bati,403704
30,Goa,552,South Goa,5618,Sanguem,626990,Boma,403704
30,Goa,552,South Goa,5618,Sanguem,626988,Calem,403704
30,Goa,552,South Goa,5618,Sanguem,627013,Colomb,403705
30,Goa,552,South Goa,5618,Sanguem,626998,Comproi,403706
30,Goa,552,South Goa,5618,Sanguem,626997,Coranginim,403704
30,Goa,552,South Goa,5618,Sanguem,626996,Costi,403704
30,Goa,552,South Goa,5618,Sanguem,627000,Cotarli,403704
30,Goa,552,South Goa,5618,Sanguem,627007,Cumbari,403704
30,Goa,552,South Goa,5618,Sanguem,627012,Curdem,403704
30,Goa,552,South Goa,5618,Sanguem,627009,Dongor,403704
30,Goa,552,South Goa,5618,Sanguem,626992,Dongurli,403704
30,Goa,552,South Goa,5618,Sanguem,626995,Dudal,403704
30,Goa,552,South Goa,5618,Sanguem,627015,Kurpem,403704
30,Goa,552,South Goa,5618,Sanguem,626994,Maulinguem,403704
30,Goa,552,South Goa,5618,Sanguem,626999,Muguli,403704
